# Title: PUP Domains Splunk Lookup
# Description: Block domains that host potentially unwanted programs (PUP)
# Updated: 2023-05-14T00:15:18Z
# Expires: 1 day (update frequency)
# Homepage: https://gitlab.com/malware-filter/pup-filter
# License: https://gitlab.com/malware-filter/pup-filter#license
# Source: https://github.com/zhouhanc/malware-discoverer
# Update (2023-05-10): Daily update has been paused. gitlab.com/malware-filter/pup-filter/-/issues/2
"host","path","message","updated"
"1800petmeds.icu","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"action-required.us","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"appcine.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"autoinsurancedepot.org","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"axisbank.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"best-realprizes.life","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"bestmoneysurvey.top","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"bestporn.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"bonus-for-you.life","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"bravovideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"bright-parrot.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"cajasdigitalreporting.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"camhub.site","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"captchatest.live","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"carsnspeed.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"clarioaff.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"classicvideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"cleargalaxy.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"clickverifier.online","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"cmdz35pvhcde.top","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"cnnvideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"content-factory.cc","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"crydconnect.com","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"cryptocrawler.io","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"curfiositystream.com","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"curiositydstream.com","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"danceview.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"dealdoctor.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"discount-deal.org","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"eastvideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"easycucina.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"elementstrangepick.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"enjoy1volcano.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"enjoy7plains.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"eskivideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"exotikcontent.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"exploreshops.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"expoview.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"fansvideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"find-datings.life","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"findallgainssurvey.top","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"findallgainsurvey.top","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"findsexy.life","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"flowvideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"gadget.land","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"gainrulesurvey.top","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"galacontent.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"getixvideo.fun","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"getway2updatesalways.click","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"getway4upgradingnow.click","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"gexcontent.biz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"gift-shop.org","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"giving-weekly-free-instant.rest","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"google-search.online","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"googlesearch.shop","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"great-dates-club.life","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"great-dates-place.life","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"gymtrainers.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"hansview.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"healthguards.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"heritagetrust.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"heya.today","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"initiategreatlyfreethefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"initiategreatlyrecentthefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"initiateheavilydevelopedtheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"initiateintenselyquicktheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"initiaterecentgreatlythefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"installhighlyrefinedthefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"installprecisehighlythefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"installrenewedsupertheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"installsophisticatedoverlytheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"installstronghighlythefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"installsuperoriginaltheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"insuranceforyourcars.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"investinfo.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"invoicingsoftware.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"jakeview.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"koalaspringb.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"llcvideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"loadextremelynewesttheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"loadfreegreatlytheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"loadrecentextremelytheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"lovegoodfats.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"lucktoday.club","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"managestrongintenselythefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"marionettespuppets.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"mattdeany.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"meetsurvey.top","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"meuble-salle-bain-teck.fr","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"militaryautoinsurance.biz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"misticview.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"mistikvideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"mkluzkoviny.cz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"monetizer.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
